t,rotY
6.54066,-112.716
6.55066,-112.359
6.56066,-111.207
6.57066,-109.223
6.58066,-106.345
6.59066,-102.504
6.60066,-97.6378
6.61066,-91.7267
6.62066,-84.8396
6.63066,-77.1781
6.64067,-69.0842
6.65067,-60.9824
6.66067,-53.2746
6.67067,-46.2474
6.68067,-40.0382
6.69067,-34.6598
6.70067,-30.0494
6.71067,-26.1102
6.72067,-22.7392
6.73067,-19.8409
6.74068,-17.3327
6.75068,-15.1455
6.76068,-13.2227
6.77068,-11.5176
6.78068,-9.99253
6.79068,-8.6168
6.80068,-7.36551
6.81068,-6.21811
6.82068,-5.15733
6.83068,-4.16868
6.84069,-3.23998
6.85069,-2.36092
6.86069,-1.52272
6.87069,-0.717986
6.88069,0.0596859
6.89069,0.815894
6.90069,1.5556
6.91069,2.2834
6.92069,3.00391
6.93069,3.72148
6.9407,4.44015
6.9507,5.16367
6.9607,5.89539
6.9707,6.63789
6.9807,7.39349
6.9907,8.16439
7.0007,8.95268
7.0107,9.76021
7.0207,10.5885
7.0307,11.4388
7.04071,12.3121
7.05071,13.2093
7.06071,14.1309
7.07071,15.0779
7.08071,16.0506
7.09071,17.0489
7.10071,18.0717
7.11071,19.1169
7.12071,20.181
7.13071,21.2591
7.14072,22.345
7.15072,23.4312
7.16072,24.5086
7.17072,25.5658
7.18072,26.5894
7.19072,27.5646
7.20072,28.4751
7.21072,29.304
7.22072,30.0349
7.23072,30.6521
7.24073,31.1413
7.25073,31.49
7.26073,31.6881
7.27073,31.7272
7.28073,31.602
7.29073,31.311
7.30073,30.8562
7.31073,30.2443
7.32073,29.4866
7.33073,28.5978
7.34074,27.5949
7.35074,26.4959
7.36074,25.3193
7.37074,24.0829
7.38074,22.8034
7.39074,21.4963
7.40074,20.1753
7.41074,18.852
7.42074,17.5366
7.43074,16.2376
7.44075,14.9616
7.45075,13.7139
7.46075,12.4977
7.47075,11.3143
7.48075,10.1633
7.49075,9.04333
7.50075,7.95231
7.51075,6.8874
7.52075,5.84524
7.53075,4.82208
7.54076,3.81375
7.55076,2.81582
7.56076,1.82356
7.57076,0.832019
7.58076,-0.163956
7.59076,-1.16969
7.60076,-2.19065
7.61076,-3.23217
7.62076,-4.29893
7.63076,-5.39538
7.64077,-6.52569
7.65077,-7.69352
7.66077,-8.90194
7.67077,-10.1533
7.68077,-11.4483
7.69077,-12.7846
7.70077,-14.1566
7.71077,-15.5538
7.72077,-16.9606
7.73077,-18.3554
7.74078,-19.7113
7.75078,-20.9958
7.76078,-22.1722
7.77078,-23.2009
7.78078,-24.0432
7.79078,-24.6641
7.80078,-25.036
7.81078,-25.142
7.82078,-24.978
7.83078,-24.5529
7.84079,-23.8867
7.85079,-23.0084
7.86079,-21.9525
